"alpha","spec","ID","pi","SegSites","TajD","HapNum","Fixed","Singletons","Doubletons","H1","H2","H2.H1","H12","Freq","Singletons.Fixed","ehh","ihh"
"1500","98","1","0.375614035087719","24","-2.31605843955962","17","4976","8","7","0.860775","0.000518750000000012","0.000602654584531396","0.8886","0.975","0.00160771704180064","0.949475973897568","4874.9879770615"
"1500","98","2","0.560375939849624","26","-2.24238867334689","19","4974","9","3","0.833275","0.000618750000000001","0.000742551978638506","0.86065","0.975","0.00180940892641737","0.934625271900336","4833.21160767253"
"1500","98","3","1.05304511278195","35","-2.17805613012432","16","4965","5","9","0.7352625","0.00423750000000001","0.00576324781965625","0.8335875","0.9725","0.00100704934541793","0.885683619113243","4825.91722762568"
"1500","98","4","0.43046365914787","26","-2.32810564264745","16","4974","5","7","0.847","0.000600000000000045","0.000708382526564398","0.8746","0.98","0.00100522718134298","0.939917271256329","4850.0479409155"
"1500","98","5","0.380538847117795","25","-2.33759817046567","21","4975","9","5","0.806225","0.00071874999999999","0.00089150051164376","0.8286625","0.9725","0.00180904522613065","0.924648185938038","4845.95501947897"
"1500","98","6","0.430977443609023","27","-2.3508501736058","19","4973","11","6","0.7305","0.00374375000000005","0.00512491444216296","0.824275","0.985","0.00221194450030163","0.867141989899381","4663.51889022358"
"1500","98","7","0.418784461152882","23","-2.2578191844462","15","4977","4","12","0.7134125","0.0078125","0.0109508874599198","0.8562125","0.9875","0.000803697006228652","0.86180042408276","4588.1357514618"
"1500","98","8","0.498984962406015","28","-2.33046843917505","18","4972","11","4","0.8243875","0.00083124999999995","0.00100832436202629","0.85615","0.98","0.00221238938053097","0.920781356020669","4803.72889373141"
"1500","98","9","0.401290726817043","23","-2.27062919031513","14","4977","4","5","0.8337","0.00104375000000001","0.00125194914237737","0.8747625","0.9875","0.000803697006228652","0.926042536785967","4813.04164364197"
"1500","98","10","0.355839598997494","21","-2.24583574675534","15","4979","6","4","0.860775","0.000518750000000012","0.000602654584531396","0.8886","0.9775","0.00120506125728058","0.949577021444029","4841.84067151945"
"1500","98","11","0.198847117794486","18","-2.28122927807131","9","4982","8","4","0.9171375","0.000331250000000005","0.000361178122146358","0.9362875","0.9925","0.00160578081091931","0.965174414166857","4933.35068569829"
"1500","98","12","1.3362030075188","25","-1.68556168249536","16","4975","6","1","0.396925","0.11336875","0.285617559992442","0.7510375","0.9825","0.00120603015075377","0.693299839019577","4498.36676273563"
"1500","98","13","1.48709273182957","43","-2.14441442910644","24","4957","10","4","0.665225","0.00506874999999996","0.00761960239016867","0.762725","0.98","0.00201734920314706","0.831632653061225","4497.74270577796"
"1500","98","14","0.557380952380952","32","-2.37832222433754","18","4968","10","10","0.84695","0.00055000000000005","0.000649388984001476","0.86995","0.9775","0.00201288244766506","0.942848711390911","4847.01006623385"
"1500","98","15","0.805401002506266","38","-2.35814488351229","18","4962","11","6","0.62775","0.00759374999999995","0.0120967741935483","0.738","0.9825","0.00221684804514309","0.807336293295944","4353.0699031521"
"1500","98","16","0.356466165413534","20","-2.21289768593971","18","4980","5","4","0.828775","0.000674999999999981","0.000814455069228658","0.851525","0.985","0.00100401606425703","0.910986683199649","4796.49185621472"
"1500","98","17","0.468258145363409","28","-2.34949042782614","21","4972","11","8","0.78035","0.00154374999999995","0.00197827897738189","0.8288875","0.98","0.00221238938053097","0.90525993005898","4860.91288036954"
"1500","98","18","0.370563909774436","27","-2.38944111855701","12","4973","15","1","0.8477625","0.00136250000000004","0.00160717181993783","0.9029625","0.9875","0.00301628795495677","0.928593458844696","4846.41882027887"
