"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,1865,0.835225563909774,27,-2.09262464089865,20,4973,6,5,0.7173375,0.00331250000000005,0.00461777057521746,0.8018375,0.98,0.00120651518198271,0.868462602432277,4746.19383188058,957145,1
1.66666666666667e-05,1865,1.78498746867168,40,-1.94717384381941,19,4960,12,6,0.62255,0.01415,0.0227290980644125,0.80195,0.9825,0.00241935483870968,0.791024043205068,4494.93997637223,9750103,2
1.66666666666667e-05,1865,0.305087719298246,13,-1.94723622536173,11,4987,4,5,0.8656875,0.000787500000000052,0.000909681611436057,0.9028875,0.98,0.000802085422097453,0.949886476329662,4816.70464925101,8271708,4
1.66666666666667e-05,1865,0.771528822055138,30,-2.21379589603001,25,4970,16,3,0.5595875,0.00828125000000002,0.0147988473652467,0.6635375,0.98,0.00321931589537223,0.773709483793517,4275.32162430189,3313734,3
1.66666666666667e-05,1865,0.811441102756892,40,-2.38744484761111,18,4960,14,5,0.806325,0.000818749999999979,0.0010154094192788,0.8287625,0.965,0.00282258064516129,0.931424534015208,4873.18976515712,5951411,5
1.66666666666667e-05,1865,0.257368421052632,17,-2.19151315307878,13,4983,9,1,0.9028375,0.000337499999999991,0.000373821424121163,0.9265875,0.9825,0.00180614087898856,0.967213221166329,4917.76371579166,1558727,6
1.66666666666667e-05,1865,0.738057644110276,29,-2.20862692995542,22,4971,7,4,0.633275,0.00521875000000005,0.00824089060834558,0.7085625,0.9575,0.00140816737075035,0.837457110439763,4619.9803972496,8497630,7
1.66666666666667e-05,1865,0.440989974937343,36,-2.50407064108755,24,4964,20,4,0.7665875,0.000962499999999977,0.00125556443328384,0.7884625,0.9775,0.0040290088638195,0.89808512033576,4743.75928913371,3770286,8
1.66666666666667e-05,1865,0.842832080200501,37,-2.32285547245064,28,4963,15,3,0.662725,0.00256875000000001,0.00387604209890982,0.711475,0.98,0.00302236550473504,0.837654627068219,4652.10964168276,680039,9
1.66666666666667e-05,1865,0.766328320802005,42,-2.43643494391826,25,4958,5,14,0.7153625,0.00133749999999999,0.00186968145520626,0.7449375,0.98,0.00100847115772489,0.855857560415471,4623.26678714964,3878557,10
1.66666666666667e-05,1865,0.744035087719298,30,-2.22982803728743,19,4970,14,2,0.8560625,0.00043749999999998,0.000511060816237108,0.8745625,0.9675,0.0028169014084507,0.954050688838013,4885.916757039,3740510,11
1.66666666666667e-05,1865,0.722218045112782,32,-2.2874712034996,20,4968,12,2,0.79765,0.00109375,0.00137121544537078,0.8288875,0.98,0.00241545893719807,0.913076100005219,4707.60888485829,7785634,12
