"alpha","spec","ID","pi","SegSites","TajD","HapNum","Fixed","Singletons","Doubletons","H1","H2","H2.H1","H12","Freq","Singletons.Fixed","ehh","ihh"
"1500","98","1","0.687681704260652","42","-2.47047684650973","20","4958","9","14","0.828675","0.000574999999999992","0.000693878782393571","0.846875","0.9825","0.0018152480839048","0.927695123851067","4810.83018512749"
"1500","98","2","1.5253007518797","28","-1.69510919344734","21","4972","7","2","0.567225","0.0122","0.0215082198422143","0.701325","0.98","0.00140788415124698","0.774427162169216","4423.10401116969"
"1500","98","3","0.331541353383459","25","-2.37102848527467","11","4975","12","5","0.936175","0.000118749999999945","0.00012684594226501","0.94585","0.9875","0.00241206030150754","0.979843217888582","4955.60355329949"
"1500","98","4","0.624786967418546","30","-2.2993639790402","17","4970","10","3","0.7899","0.00224374999999999","0.00284054943663754","0.8653375","0.98","0.00201207243460765","0.906473458948797","4860.85032491257"
"1500","98","5","0.441052631578947","17","-2.01883268684056","14","4983","5","4","0.860875","0.000618750000000001","0.000718745462465516","0.8933375","0.975","0.00100341159943809","0.952204864544196","4868.32818535364"
"1500","98","6","1.43785714285714","40","-2.10415806392822","19","4960","9","7","0.7164875","0.00246250000000003","0.00343690573806247","0.7629625","0.9825","0.00181451612903226","0.862426650049333","4589.21816092849"
"1500","98","7","0.639323308270677","30","-2.29088755066344","15","4970","9","4","0.865525","0.000624999999999987","0.000722105080731333","0.902725","0.98","0.00181086519114688","0.950016963307062","4879.95609113211"
"1500","98","8","0.604097744360902","22","-2.08720465295954","15","4978","7","5","0.66745","0.02344375","0.0351243538841861","0.9122125","0.9775","0.00140618722378465","0.846704701947669","4580.5149386845"
"1500","98","9","1.84102756892231","48","-2.09723391502312","24","4952","17","7","0.5645875","0.0243625","0.0431509730555493","0.7887625","0.9725","0.0034329563812601","0.785492804706755","4373.95787506957"
"1500","98","10","1.15518796992481","38","-2.19253691782056","18","4962","17","5","0.8202","0.00117500000000004","0.00143257742014147","0.869975","0.9775","0.00342603788794841","0.928565807593941","4775.50934487507"
"1500","98","11","1.29860902255639","46","-2.27477493817485","19","4954","11","8","0.819725","0.000700000000000034","0.000853944920552666","0.846875","0.975","0.00222042793702059","0.929675037901259","4836.28066047063"
"1500","98","13","1.39805764411028","23","-1.54073414244517","20","4977","6","1","0.54235","0.02754375","0.0507859315939891","0.77195","0.99","0.00120554550934298","0.758605037718962","4230.7486894259"
"1500","98","14","0.722468671679198","26","-2.13543883270805","15","4974","6","10","0.8040375","0.00301249999999997","0.00374671579372849","0.8980125","0.985","0.00120627261761158","0.910896268454295","4802.30137172085"
"1500","98","15","0.406416040100251","23","-2.26687611552975","13","4977","4","4","0.8607875","0.000531249999999983","0.000617167419368872","0.8793375","0.985","0.000803697006228652","0.94256080391625","4829.35582077214"
"1500","98","16","0.528784461152882","31","-2.37524019338587","13","4969","8","7","0.88875","0.000443749999999965","0.000499296765119511","0.917025","0.9875","0.00160998188770376","0.955195013814817","4847.0957527469"
"1500","98","17","0.50828320802005","28","-2.32471219301718","19","4972","12","5","0.833275","0.000618750000000001","0.000742551978638506","0.8560875","0.975","0.00241351568785197","0.93458572276053","4851.75964010283"
