"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,600,1.52110275689223,32,-1.84716077097414,20,4968,5,1,0.59085,0.00562499999999999,0.00952018278750951,0.65205,0.98,0.00100644122383253,0.793210762565896,4381.37890808497,3698040,1
1.66666666666667e-05,600,1.11010025062657,32,-2.07368743825732,15,4968,3,7,0.77585,0.00144999999999995,0.001868917960946,0.80665,0.9775,0.000603864734299517,0.896091546986688,4656.00868253656,3236941,3
1.66666666666667e-05,600,2.38352130325815,36,-1.53906065924825,27,4964,7,5,0.5044875,0.0109812500000001,0.0217671399192251,0.6239125,0.975,0.00141015310233683,0.706393777602004,4362.40367807,2899852,2
1.66666666666667e-05,600,0.847593984962406,29,-2.14284486677924,26,4971,10,3,0.699675,0.00244999999999995,0.00350162575481467,0.758125,0.965,0.0020116676725005,0.873938496736424,4607.94734540071,1376527,6
1.66666666666667e-05,600,1.41266917293233,39,-2.09359727935179,21,4961,9,2,0.712225,0.00241875000000003,0.0033960475973183,0.7754125,0.975,0.00181415037290869,0.864972645178301,4690.1976797838,5254340,9
1.66666666666667e-05,600,0.908258145363409,31,-2.16019889296628,25,4969,10,3,0.7366625,0.00135624999999995,0.00184107376172935,0.766675,0.965,0.0020124773596297,0.893250790660117,4680.80011439338,6512195,5
1.66666666666667e-05,600,0.897431077694236,29,-2.11291519451615,18,4971,7,6,0.7773125,0.00291249999999998,0.00374688429685614,0.8653125,0.9875,0.00140816737075035,0.895887682323459,4671.61937287155,9025364,8
1.66666666666667e-05,600,0.521303258145363,29,-2.33879880351204,18,4971,13,4,0.7810875,0.00228125000000001,0.00292060748635718,0.8561,0.98,0.00261516797425065,0.904418289054752,4713.17189701968,6360400,10
1.66666666666667e-05,600,0.849348370927318,29,-2.14179127006895,24,4971,9,4,0.6912875,0.00238749999999999,0.00345370052257561,0.7452375,0.9825,0.00181050090525045,0.828899880562912,4636.41695227709,9351517,13
1.66666666666667e-05,600,1.07932330827068,31,-2.0632591666593,27,4969,7,3,0.50025,0.017225,0.034432783608196,0.66705,0.99,0.00140873415174079,0.727605165579849,3939.68947704897,7391454,7
1.66666666666667e-05,600,2.06936090225564,31,-1.5022216546175,21,4969,3,7,0.5064375,0.0129312499999999,0.0255337529310131,0.615325,0.9725,0.000603743207888911,0.734184930962288,4140.07859830917,942663,4
1.66666666666667e-05,600,3.48273182957393,33,-0.82726500414395,23,4967,12,1,0.3543875,0.1427875,0.402913477478749,0.6993875,0.985,0.00241594523857459,0.634601723046719,3715.44322599811,4976360,11
1.66666666666667e-05,600,1.0347619047619,43,-2.33609701076897,25,4957,12,7,0.6749875,0.00258749999999996,0.00383340432230221,0.7282875,0.9825,0.00242081904377648,0.820007010437763,4661.29725554344,9086235,12
1.66666666666667e-05,600,0.586152882205514,31,-2.34273048222674,22,4969,10,5,0.7374375,0.00213125000000003,0.00289007543012124,0.793175,0.9825,0.0020124773596297,0.877667861037545,4746.22604117983,3667421,14
1.66666666666667e-05,600,1.37862155388471,33,-1.95604801727684,26,4967,11,2,0.68335,0.00272499999999998,0.00398770761688736,0.745225,0.965,0.00221461646869338,0.863851692349102,4570.429304892,9312245,29
