"alpha","spec","ID","pi","SegSites","TajD","HapNum","Fixed","Singletons","Doubletons","H1","H2","H2.H1","H12","Freq","Singletons.Fixed","ehh","ihh"
"1500","98","1","1.17518796992481","32","-2.03781392432754","27","4968","10","4","0.582325","0.00472499999999998","0.00811402567294892","0.635525","0.99","0.00201288244766506","0.758048842858969","4353.85295997954"
"1500","98","2","0.760588972431078","31","-2.24388050858428","21","4969","7","4","0.7668875","0.00126250000000006","0.00164626493455697","0.8018875","0.9775","0.00140873415174079","0.898353990425602","4640.0503705161"
"1500","98","3","0.448533834586466","24","-2.2645495466367","19","4976","9","8","0.754675","0.00211874999999995","0.00280749991718282","0.806725","0.975","0.00180868167202572","0.88191286006196","4750.39927493244"
"1500","98","4","0.37468671679198","20","-2.1979024325019","16","4980","8","3","0.8200125","0.00098750000000003","0.00120424993521444","0.8562125","0.9775","0.00160642570281125","0.924965571512886","4842.82280805299"
"1500","98","5","0.948621553884712","33","-2.18672827261096","19","4967","6","5","0.833175","0.000518750000000012","0.000622618297476535","0.851425","0.97","0.0012079726192873","0.94168731186233","4807.81095660513"
"1500","98","6","0.429887218045113","26","-2.32848598224307","18","4974","9","4","0.79325","0.00114999999999998","0.00144973211471791","0.8244","0.98","0.00180940892641737","0.910629469178976","4701.73136645963"
"1500","98","7","0.786892230576441","22","-1.94825275820465","21","4978","6","3","0.4906625","0.0350375","0.0714085547601457","0.7370375","0.9775","0.00120530333467256","0.721896517804446","4417.25212800839"
"1500","98","8","1.36235588972431","39","-2.11687215883855","27","4961","8","2","0.6348625","0.00283750000000005","0.0044694717360059","0.6825625","0.96","0.00161257810925217","0.837025402523934","4527.14719321149"
"1500","98","9","0.82359649122807","35","-2.29492205259164","18","4965","8","3","0.716525","0.00249999999999995","0.00348906179128425","0.767225","0.985","0.00161127895266868","0.864093721341755","4639.98634737345"
"1500","98","10","0.625551378446115","32","-2.34074965680231","19","4968","13","2","0.8107875","0.000787500000000052","0.000971277924240386","0.8332875","0.97","0.00261674718196457","0.924292069580969","4747.7889528224"
"1500","98","11","0.608208020050125","38","-2.45150664857247","24","4962","9","11","0.666925","0.00270000000000004","0.00404843123289731","0.7199","0.985","0.00181378476420798","0.831234419601917","4562.50952583924"
"1500","98","12","0.55765664160401","25","-2.21675313990035","15","4975","5","1","0.77185","0.00184375000000003","0.00238874133575181","0.8245","0.9825","0.00100502512562814","0.894551331983175","4671.21870618476"
"1500","98","13","0.892105263157895","27","-2.05629103809144","14","4973","4","3","0.838075","0.000850000000000017","0.00101422903678074","0.865525","0.98","0.000804343454655138","0.934978339161752","4848.09838065661"
"1500","98","14","0.380087719298246","29","-2.42360581299979","15","4971","13","6","0.7944125","0.00231250000000005","0.00291095620977773","0.8700625","0.9875","0.00261516797425065","0.904703463342543","4761.0856711431"
"1500","98","15","1.19050125313283","35","-2.10804508132344","22","4965","8","8","0.6835625","0.00705624999999999","0.0103227576117765","0.8151625","0.9725","0.00161127895266868","0.856882569634007","4513.48104444386"
"1500","98","16","0.25781954887218","18","-2.22830550896568","15","4982","5","6","0.8199375","0.000912499999999983","0.00111288970195897","0.8516125","0.98","0.00100361300682457","0.920272456808811","4875.71428571429"
"1500","98","17","0.946453634085213","38","-2.29136298039094","19","4962","10","2","0.79325","0.00114999999999998","0.00144973211471791","0.82885","0.98","0.00201531640467553","0.896425961689023","4794.56015449658"
"1500","98","18","0.810451127819549","33","-2.26085196834198","22","4967","9","8","0.532025","0.035","0.0657863822188808","0.792875","0.975","0.00181195892893094","0.755526992287918","4516.59747544658"
"1500","98","19","0.434661654135338","33","-2.46245013518232","17","4967","21","1","0.771875","0.00186874999999997","0.00242105263157891","0.824525","0.975","0.00422790416750554","0.903157339661196","4705.14682618153"
"1500","98","20","0.796766917293233","33","-2.26819307805885","19","4967","7","1","0.7081625","0.00256250000000002","0.00361851976064819","0.7711625","0.975","0.00140930138916851","0.867780634104542","4656.99833893613"
"1500","98","21","0.650989974937343","27","-2.21031061324313","22","4973","10","4","0.7798125","0.00100624999999999","0.00129037428869117","0.8062875","0.9675","0.00201085863663784","0.914414052563227","4822.77866141838"
"1500","98","22","0.798533834586466","27","-2.11606257635128","14","4973","12","5","0.788","0.00477499999999997","0.00605964467005073","0.907475","0.9875","0.00241303036396541","0.897963117650838","4837.98684700893"
"1500","98","23","0.388007518796992","17","-2.06870009123314","17","4983","3","1","0.71625","0.00222500000000003","0.00310645724258294","0.76695","0.9825","0.000602046959662854","0.865944851222932","4696.20343251804"
"1500","98","24","0.390338345864662","30","-2.43607561567877","21","4970","15","8","0.7888","0.00114375","0.00144998732251521","0.8287375","0.9775","0.00301810865191147","0.905620040658404","4739.58419568496"
"1500","98","25","0.965250626566416","34","-2.20086012503815","14","4966","4","10","0.8517","0.000693750000000048","0.000814547375836619","0.8839875","0.9775","0.000805477245267821","0.942192930683979","4849.75358384156"
"1500","98","26","0.443308270676692","22","-2.20942935725789","19","4978","6","4","0.788675","0.00101874999999996","0.00129172346023388","0.8197375","0.9725","0.00120530333467256","0.897907667028861","4711.42431691093"
"1500","98","27","0.574611528822055","35","-2.42173849243343","21","4965","10","4","0.766925","0.00129999999999997","0.00169508100531339","0.8063","0.98","0.00201409869083585","0.896745654783653","4797.20894227256"
