"alpha","spec","ID","pi","SegSites","TajD","HapNum","Fixed","Singletons","Doubletons","H1","H2","H2.H1","H12","Freq","Singletons.Fixed","ehh","ihh"
"1500","98","1","0.601704260651629","33","-2.37283750466406","19","4967","13","6","0.806675","0.00116875000000005","0.00144884866891877","0.8560375","0.9825","0.00261727400845581","0.916024043205068","4768.6843939866"
"1500","98","2","0.442230576441103","25","-2.29550675363582","23","4975","10","3","0.7929","0.000800000000000023","0.00100895447092953","0.8196","0.9675","0.00201005025125628","0.91908663694421","4780.15282965819"
"1500","98","3","0.686453634085213","31","-2.28589174738233","26","4969","14","2","0.703375","0.00196874999999996","0.00279900479829389","0.7494375","0.9775","0.00281746830348159","0.835110499049118","4734.00576431241"
"1500","98","4","0.875275689223058","27","-2.06704142993327","20","4973","9","6","0.7047625","0.00335624999999995","0.00476224259945719","0.7717625","0.9825","0.00180977277297406","0.851495560056084","4811.04095913174"
"1500","98","5","0.228170426065163","20","-2.31848324625352","15","4980","12","3","0.921725","0.000125000000000042","0.000135615286555146","0.931325","0.985","0.00240963855421687","0.974767827850325","4929.71791245269"
"1500","98","6","0.488684210526316","25","-2.26381207921204","20","4975","8","3","0.7413625","0.0017625","0.00237737948709302","0.7800625","0.97","0.00160804020100503","0.89054716428248","4860.688424039"
"1500","98","7","0.896365914786967","38","-2.3150772009645","21","4962","9","4","0.6591","0.003","0.00455166135639509","0.70365","0.98","0.00181378476420798","0.803741061642048","4426.53279790177"
"1500","98","8","0.546654135338346","24","-2.19523959104529","16","4976","5","2","0.754475","0.00191874999999997","0.00254315915040256","0.7935125","0.9725","0.0010048231511254","0.897145734502955","4693.62235973816"
"1500","98","9","0.674172932330827","28","-2.2220151759849","18","4972","6","5","0.7891875","0.00153124999999998","0.00194028668725744","0.8424375","0.97","0.00120675784392599","0.917405897866219","4694.5057007379"
"1500","98","10","0.419085213032581","20","-2.16136310448942","14","4980","3","4","0.7940375","0.00193750000000004","0.0024400610802387","0.8607875","0.9775","0.000602409638554217","0.913489409141583","4808.6901632894"
"1500","98","11","0.762794486215539","42","-2.43796455139608","21","4958","13","9","0.77985","0.00104375000000001","0.00133839840995064","0.806325","0.9775","0.00262202501008471","0.905665945307889","4755.23635648239"
"1500","98","12","0.442130325814536","17","-2.01781955270927","14","4983","3","4","0.7849125","0.00168749999999995","0.00214992116955706","0.8291625","0.975","0.000602046959662854","0.910408015292334","4779.84454551447"
"1500","98","13","0.47765664160401","26","-2.29696740531882","19","4974","11","3","0.824375","0.000818749999999979","0.000993176648976472","0.8561375","0.975","0.00221149979895456","0.932766462329444","4798.82108628304"
"1500","98","14","0.47406015037594","24","-2.24651833596752","18","4976","6","3","0.7931875","0.00108750000000002","0.00137105035064221","0.8287875","0.9775","0.00120578778135048","0.912925437733622","4767.26765689553"
"1500","98","15","0.758659147869674","27","-2.14153372068539","20","4973","12","5","0.7762625","0.00186249999999999","0.00239931724126824","0.8334625","0.965","0.00241303036396541","0.914514501042998","4852.85183365857"
"1500","98","16","0.573583959899749","23","-2.14446531446131","16","4977","4","1","0.69775","0.00885000000000002","0.0126836259405231","0.84715","0.985","0.000803697006228652","0.854432259981142","4843.2973224319"
"1500","98","17","0.51968671679198","35","-2.44971355186403","19","4965","14","3","0.8653","0.000399999999999956","0.000462267421703404","0.88855","0.9825","0.00281973816717019","0.947382769901854","4843.91673157813"
"1500","98","18","1.08027568922306","33","-2.11610034341179","15","4967","6","8","0.79405","0.00195000000000001","0.00245576475033059","0.85635","0.9725","0.0012079726192873","0.911463440489757","4785.0324848276"
"1500","98","19","0.551177944862155","25","-2.22117346541346","15","4975","6","3","0.8517125","0.000706250000000019","0.000829211735180615","0.884","0.97","0.00120603015075377","0.951863395402115","4877.06573829883"
"1500","98","20","0.45765664160401","28","-2.35605347937542","20","4972","11","7","0.8289125","0.000812499999999994","0.000980199960791994","0.8698625","0.985","0.00221238938053097","0.925569289985921","4809.06117203343"
"1500","98","21","0.591904761904762","25","-2.1933861193446","20","4975","11","3","0.6761625","0.0037625","0.00556449078438985","0.7376625","0.9875","0.00221105527638191","0.837132943519887","4652.22190451712"
"1500","98","22","0.952243107769424","33","-2.18478543313461","23","4967","10","3","0.7929125","0.000812499999999994","0.00102470323017987","0.8196125","0.9675","0.00201328769881216","0.919133496672959","4785.38856756503"
"1500","98","23","0.741591478696742","34","-2.31773201004387","25","4966","9","10","0.6349","0.00287499999999996","0.00452827216884543","0.678625","0.965","0.0018123238018526","0.834566987416728","4626.40958212772"
